DatasetName,Target,Pipeline,EvaluationMetric,Time,Size,Website
Titanic,Survived,"MEDIAN,OE,nor_null,MR,dup_null,out_null,NB",0.829968701,0.020285845, 891*12, https://www.kaggle.com/code/headsortails/pytanic
HeartAttack,output,"imp_null,enc_null,MM,fea_null,dup_null,IQR,RF",0.86440678,0.092974901, 303*14, https://www.kaggle.com/code/advikmaniar/heart-attack-eda-prediction-with-9-model-95
Stroke,stroke,"imp_null,enc_null,MM,fea_null,dup_null,out_null,RF",0.964430894,0.273109674, 5111*12, https://www.kaggle.com/code/gaetanlopez/how-to-make-clean-visualizations
HepatitisCdata,Category,"DROP,enc_null,nor_null,fea_null,dup_null,out_null,NB",0.991596639,0.000102282, 615*14, https://www.kaggle.com/code/thesanketsharma/hepatitis-c-pred
Heart,HeartDisease,"imp_null,OE,nor_null,fea_null,dup_null,out_null,RF",0.918478261,0.169237375, 918*12, https://www.kaggle.com/code/pythonafroz/categorical-to-numerical-encoding-methods
Star,class,"imp_null,enc_null,nor_null,fea_null,dup_null,IQR,RF",0.97921429,18.64517355, 100000*18, https://www.kaggle.com/code/waleedfaheem/stellar-classification-and-supervised-learning
Acoustic,STATUS,"imp_null,OE,MM,fea_null,dup_null,out_null,RF",0.970478647,0.542173862, 17442*7, https://www.kaggle.com/code/jainendra2607/fire-classification-problem
WeatherAUS,RainTomorrow,"MEAN,OE,nor_null,fea_null,dup_null,out_null,RF",0.854695355,22.90050602, 145460*23, https://www.kaggle.com/code/fahadmehfoooz/rain-prediction-with-90-65-accuracy
MobilePrice,price_range,"imp_null,enc_null,nor_null,fea_null,dup_null,ZSB,LDA",0.948125,0.044913292, 2000*21, https://www.kaggle.com/code/mahmoudhassanmahmoud/mobile-price-ran-classification-with-accuracy-83
WaterPotability,Potability,"MEAN,enc_null,DS,fea_null,dup_null,out_null,RF",0.681402439,0.523998976, 3276*10, https://www.kaggle.com/code/gcmadhan/water-quality-prediction-76-h2o-80-accuracy
Placement,status,"MF,OE,ZS,fea_null,dup_null,out_null,RF",0.976744186,0.094979048, 215*15, https://www.kaggle.com/code/benroshan/you-re-hired-analysis-on-campus-recruitment-data
Heart20,HeartDisease,"imp_null,enc_null,nor_null,LC,dup_null,ZSB,RF",0.916822569,18.05598974, 319795*18, https://www.kaggle.com/code/mushfirat/heartdisease-eda-prediction
FakeJob,fraudulent,"MEAN,OE,ZS,MR,dup_null,out_null,RF",0.979865772,1.222230196, 17880*18, https://www.kaggle.com/code/shivamburnwal/nlp-98-acc-eda-with-model-using-spacy-pipeline
CompanyBankruptcy,Bankrupt?,"imp_null,enc_null,nor_null,fea_null,dup_null,IQR,RF",0.98240866,1.492979527, 6819*96, https://www.kaggle.com/code/marto24/bankruptcy-detection
IRIS,species,"imp_null,enc_null,ZS,fea_null,dup_null,out_null,RF",0.983333333,0.10793519, 150*5, https://www.kaggle.com/code/gauravahujaravenclaw/iris-dataset-analysis-and-machine-learning
AirlinePassengerSatisfaction,satisfaction,"imp_null,OE,ZS,fea_null,dup_null,out_null,RF",0.965731937,13.09157777, 103904*25, https://www.kaggle.com/code/rajeevnair676/airline-satisfaction-xgboost-96-accuracy
WineQT,satisfaction,"imp_null,enc_null,nor_null,MR,dup_null,out_null,RF",0.707423581,0.173275471, 1143*13, https://www.kaggle.com/code/qusaybtoush1990/wine-quality
Bank,deposit,"imp_null,BE,ZS,fea_null,dup_null,out_null,LDA",0.806586147,0.309330702, 11162*17, https://www.kaggle.com/code/janiobachmann/bank-marketing-campaign-opening-a-term-deposit
BankFull,y,"imp_null,enc_null,ZS,fea_null,dup_null,IQR,RF",0.943276706,1.369977474, 41188*21, https://www.kaggle.com/code/henriqueyamahata/bank-marketing-classification-roc-f1-recall
ECommerceShipping,ReachedonTime,"imp_null,enc_null,MM,WR,dup_null,out_null,NB",0.688636364,0.028192997,"(10999, 12)",https://www.kaggle.com/code/santhoshtsk/ecommerce-shipping-eda-prediction
DrugsCom,rating,"DROP,BE,ZS,fea_null,dup_null,out_null,LDA",0.323669905,11.47641563,"(161297, 7)",https://www.kaggle.com/code/harshjain123/drugs-review-sentiment
BreastCancer,diagnosis,"imp_null,enc_null,ZS,fea_null,dup_null,out_null,NB",0.938596491,0.009020567,"(569, 6)",https://www.kaggle.com/code/sachinsharma1123/breast-cancer-preds-for-freshers-acc-946
Drug200,Drug,"imp_null,BE,nor_null,fea_null,dup_null,out_null,LDA",0.89375,0.116932392,"(200, 6)",https://www.kaggle.com/code/caesarmario/drug-classification-w-various-ml-models
WinequalityN,quality,"imp_null,BE,nor_null,fea_null,dup_null,LOF,RF",0.718649518,0.769969463,"(6497, 13)",https://www.kaggle.com/code/mgmarques/wines-type-and-quality-classification-exercises
MarketingCampaign,Response,"imp_null,OE,nor_null,fea_null,dup_null,out_null,RF",0.896162528,0.23039794,"(2240, 29)",https://www.kaggle.com/code/mgmarques/wines-type-and-quality-classification-exercises
StarTypes,Spectral Class,"imp_null,OE,nor_null,fea_null,dup_null,IQR,LDA",0.941840768,0.02706027,"(240, 7)",https://www.kaggle.com/code/parvathicg/marketing-campeign
ChurnModelling,Exited,"imp_null,OE,MM,fea_null,dup_null,out_null,RF",0.8585,1.300327063,"(10000, 14)",https://www.kaggle.com/code/berkanacar/churn-prediction-by-selecting-from-11-tuned-models
BankPersonalLoan,PersonalLoan,"imp_null,enc_null,nor_null,fea_null,dup_null,ZSB,RF",0.99,0.256357193,"(5000, 14)",https://www.kaggle.com/code/adityakadiwal/eda-and-personal-loan-prediction-acc-97-5
Neo,hazardous,"imp_null,enc_null,nor_null,fea_null,ED,IQR,LDA",0.92099202,0.181002855,"(90836, 10)",https://www.kaggle.com/code/d4rklucif3r/dangerous-or-not-anai-viz
IncomeEvaluation,income,"imp_null,BE,MM,MR,dup_null,out_null,LDA",0.839603808,0.574715853,"(32561, 15)",https://www.kaggle.com/code/prashant111/random-forest-classifier-feature-importance
Banking,y,"imp_null,OE,nor_null,fea_null,dup_null,IQR,RF",0.944278432,2.184715509,"(45211, 17)",https://www.kaggle.com/code/fathurrs/banking-dataset-marketing-targets
bodyPerformance,class,"imp_null,FE,nor_null,fea_null,ED,out_null,RF",0.735349011,1.396033525,"(13393, 12)",https://www.kaggle.com/code/werador/body-performance-classification-models
Data_Cortex_Nuclear,class,"imp_null,enc_null,nor_null,MR,dup_null,out_null,RF",0.996,0.445167065,"(10000, 10)",https://www.kaggle.com/code/werador/body-performance-classification-models
estonia-passenger-list,Survived,"imp_null,FE,nor_null,fea_null,dup_null,out_null,RF",0.909090909,0.108037472,"(989, 8)",https://www.kaggle.com/code/werador/body-performance-classification-models
smoke_detection_iot,Fire Alarm,"imp_null,enc_null,DS,fea_null,dup_null,out_null,RF",0.999760498,2.719765663,"(62630, 16)",https://www.kaggle.com/code/werador/body-performance-classification-models
